gencoveid	NA
4dc36008-f337-4719-a188-42610840c919	ceff7dd9-3732-41c4-b870-237342349749
cbbd9574-edee-4db3-bec3-87ada79322b7	ceff7dd9-3732-41c4-b870-237342349749
8ef4c922-c1c8-4016-aed9-b407ccb82c8e	ceff7dd9-3732-41c4-b870-237342349749
7d404ce2-002e-4207-92aa-764ec3c77bbe	ceff7dd9-3732-41c4-b870-237342349749
c57d3522-de10-442d-b128-6349a46132b4	ceff7dd9-3732-41c4-b870-237342349749
087be2fa-64e6-4f78-95e1-74b7d16cf9cf	ceff7dd9-3732-41c4-b870-237342349749
7f4b88aa-9210-4354-8473-321956b911a4	ceff7dd9-3732-41c4-b870-237342349749
150041df-4fd9-49cf-9a72-ef5cbefe0cf2	ceff7dd9-3732-41c4-b870-237342349749
c7c49ae9-8e26-4b15-aded-2e86388a5734	ceff7dd9-3732-41c4-b870-237342349749
07918b50-e0fd-4b21-9f69-3de47e9a54df	ceff7dd9-3732-41c4-b870-237342349749
846d7443-abce-43d8-8682-792aa8d79eb0	ceff7dd9-3732-41c4-b870-237342349749
c2cb52a4-fd22-40fa-b2b4-868fb4036af9	ceff7dd9-3732-41c4-b870-237342349749
9d6adda5-af7d-4fcf-b9ee-7a9b2cd77c98	ceff7dd9-3732-41c4-b870-237342349749
b3a96dbf-2f21-4da8-a7a0-1338b42b81e8	ceff7dd9-3732-41c4-b870-237342349749
bfa6f298-292f-4cda-bef5-acc719709ab9	ceff7dd9-3732-41c4-b870-237342349749
27108dc3-fec5-40f9-b753-b7f8280a3fb2	ceff7dd9-3732-41c4-b870-237342349749
a8ceff49-578d-48ac-bbc1-94ef65ed9701	ceff7dd9-3732-41c4-b870-237342349749
ad7013f7-c93d-44c6-a787-bef93795b65c	ceff7dd9-3732-41c4-b870-237342349749
c60ae9b3-4b17-4bbb-8ecb-92019014a066	ceff7dd9-3732-41c4-b870-237342349749
f54e0a8c-465c-46f2-b062-f4df20c15de5	ceff7dd9-3732-41c4-b870-237342349749
d87f18ec-c0d8-427f-ba2c-157a16af6692	ceff7dd9-3732-41c4-b870-237342349749
22c52dca-9b7d-4a1b-8a30-b3105c335ab3	ceff7dd9-3732-41c4-b870-237342349749
bd71f0a5-6dc9-4e85-bb38-ab4ff6b6c633	ceff7dd9-3732-41c4-b870-237342349749
82883f91-e607-43a7-8a41-ec98505a1d87	ceff7dd9-3732-41c4-b870-237342349749
da81a0ca-b1fd-483b-a3fe-e925735e8073	ceff7dd9-3732-41c4-b870-237342349749
548e1449-61fd-4a9a-b7ee-5a505f04de45	ceff7dd9-3732-41c4-b870-237342349749
993f4b5b-6fec-4ebc-bd36-8a9bffa1b861	ceff7dd9-3732-41c4-b870-237342349749
4f79c457-c593-4088-9bdf-e3c90019a9d4	fb7724e2-2191-4084-be6e-5ee124245744
227c0047-2160-4483-928d-2ee1f166fbf0	fb7724e2-2191-4084-be6e-5ee124245744
82ab34e4-7ddb-40b1-9640-2ce6fc08fac8	fb7724e2-2191-4084-be6e-5ee124245744
2a44138d-af72-4706-8446-967bc968f15d	fb7724e2-2191-4084-be6e-5ee124245744
