id,id2,oldid,vcfid,A,state,gencoveid,projid
A3,A3,A3,A3,0.729425,AZ,77ed9011-c0f6-4689-85ed-916d45a9678b,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
M0171-02-05112022-04203,M0171-02-05112022-04203,172280D,M0171-02-05112022-04203,1e-05,FL,43a517a1-bdd3-48a1-a4fd-ed51639b2ae8,ceff7dd9-3732-41c4-b870-237342349749
M0223-01-06292022-05993,M0223-01-06292022-05993,172287D,M0223-01-06292022-05993,1e-05,FL,6ac2f253-2754-4176-82be-49622bb0ecc9,ceff7dd9-3732-41c4-b870-237342349749
M0186-01-05262022-04793,M0186-01-05262022-04793,29-HB,29-HB,1e-05,FL,5c6920f7-ed19-40d6-9de1-8efca284e1a9,ceff7dd9-3732-41c4-b870-237342349749
M0222-01-06282022-05919,M0222-01-06282022-05919,32-HB,32-HB,1e-05,FL,671fb323-24b3-42c9-8c87-e0f1bc787dca,ceff7dd9-3732-41c4-b870-237342349749
M0130-01-04052022-02797,M0130-01-04052022-02797,17-HB,17-HB,0.004567,FL,a05b6233-5b2b-4169-aea0-400cb765cd2e,ceff7dd9-3732-41c4-b870-237342349749
MAN-055-07-08-21,MAN-055-07-08-21,43-HB,43-HB,0.00595,FL,1afbd53f-cd0f-4a90-9270-87e1f9ddd9eb,ceff7dd9-3732-41c4-b870-237342349749
M0073-01-03092022-01953,M0073-01-03092022-01953,9-HB,9-HB,0.031686,FL,46f34540-48fb-42df-ab3e-ef8eb9a36aad,ceff7dd9-3732-41c4-b870-237342349749
M0057-01-03072022-01844,M0057-01-03072022-01844,7-HB,7-HB,0.038484,FL,9df9064d-94aa-42a4-bed3-d0f92b6f07d4,ceff7dd9-3732-41c4-b870-237342349749
M0146-01-04202022-03409,M0146-01-04202022-03409,19-HB,19-HB,0.046103,FL,480730d7-dcd4-4b06-ae4a-eef57d37e4f6,ceff7dd9-3732-41c4-b870-237342349749
M0031-01-02162022-01249,M0031-01-02162022-01249,172257D,M0031-01-02162022-01249,0.057738,FL,946ad0a5-59a2-49af-a750-d3497c4e383f,ceff7dd9-3732-41c4-b870-237342349749
M0045-01-02282022-01616,M0045-01-02282022-01616,172261D,M0045-01-02282022-01616,0.070152,FL,7404a5bd-151e-4bf4-981c-8bba9aa5c4d4,ceff7dd9-3732-41c4-b870-237342349749
